name,date,r,g,b,uri
Swimwear,2022-10-10 21:33:13,232,231,239,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/311492379_2303752419777836_8792846645501144441_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=EmKCJRVqp7EAX_EBXSU&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk0NjIyNjUyNjY1NjYzODQ4Mg%3D%3D.2-ccb7-5&oh=00_AT8VsncW8HeQGt9hxsEbIzsAzmKvwWoa3TFmngzB5SBa9w&oe=6354345F&_nc_sid=8fd12b
Pants,2022-10-10 21:33:13,25,25,33,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/311492379_2303752419777836_8792846645501144441_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=EmKCJRVqp7EAX_EBXSU&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk0NjIyNjUyNjY1NjYzODQ4Mg%3D%3D.2-ccb7-5&oh=00_AT8VsncW8HeQGt9hxsEbIzsAzmKvwWoa3TFmngzB5SBa9w&oe=6354345F&_nc_sid=8fd12b
Pants,2022-09-28 19:00:19,168,162,143,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/309348808_643639357353735_303745920242717258_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=OSkscCBGKksAX9ckOXe&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkzNzQ1MjI1Mjc5NzAxMDQ0MQ%3D%3D.2-ccb7-5&oh=00_AT-goBkuFF0_tc_vaPF6Oad-TdlmjN520coJyJFRLe0ZHw&oe=6354FC0C&_nc_sid=8fd12b
Dress,2022-08-15 19:01:08,6,6,6,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/299294994_776688850343117_8825174685247916419_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=m9k2iPCkco0AX8r7l7F&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkwNTU2MjUzNDAwNzEzMjA0Mg%3D%3D.2-ccb7-5&oh=00_AT-A9yh-06HrXug2VrxbcDR02GUpj4OYTzaYOJ11h4ORGw&oe=63556FDA&_nc_sid=8fd12b
Pants,2022-07-11 21:30:28,239,239,239,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/293071408_1251332935635239_6734670539477991235_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=nY0mzJo85_QAX9zuYSA&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjg4MDI3MDU0NjczNTMwNDU1NQ%3D%3D.2-ccb7-5&oh=00_AT9_hororlZy2W6gIiCOxGc0L_YCVRSYkTdDcGzzvTsRtg&oe=6354A11C&_nc_sid=8fd12b
Pants,2022-07-11 21:30:28,169,200,232,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/293071408_1251332935635239_6734670539477991235_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=nY0mzJo85_QAX9zuYSA&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjg4MDI3MDU0NjczNTMwNDU1NQ%3D%3D.2-ccb7-5&oh=00_AT9_hororlZy2W6gIiCOxGc0L_YCVRSYkTdDcGzzvTsRtg&oe=6354A11C&_nc_sid=8fd12b
Shorts,2022-06-08 22:46:57,123,62,13,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/287023695_711795323406476_8314489841671621500_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=ja33AIQqcwwAX9kVX_i&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjg1NjM5MTQ0NjI2NjczODM2OA%3D%3D.2-ccb7-5&oh=00_AT8no7xUGiN4K7YWk_ar_B7R4smd7ZaoH2IV67fdJIxnVw&oe=6355485C&_nc_sid=8fd12b
Pants,2022-10-17 18:10:57,8,11,20,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311768274_3398008047112787_3072137597301586573_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=pKxUeDOiwacAX-8qJX8&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MTE5ODE1NzEwMDAxNDc0MQ%3D%3D.2-ccb7-5&oh=00_AT9i37emNAd2Lfrnrcs3EuaohMrLQL0SUvsgrYKXQ3f0sQ&oe=63559DE7&_nc_sid=30a2ef
Pants,2022-10-16 21:46:18,199,196,175,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311785566_490474539702205_2877818467557134287_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=wS3jc4tqTdcAX8gU2Tf&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MDU4MTc2NzgxMjg0MTA0MA%3D%3D.2-ccb7-5&oh=00_AT-cVjjHoW6J3eWdOgmsRLrS7YFqcbRg77L_Cnr3FXjPEA&oe=635582CE&_nc_sid=30a2ef
Shirt,2022-10-16 21:46:18,222,231,237,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311785566_490474539702205_2877818467557134287_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=wS3jc4tqTdcAX8gU2Tf&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MDU4MTc2NzgxMjg0MTA0MA%3D%3D.2-ccb7-5&oh=00_AT-cVjjHoW6J3eWdOgmsRLrS7YFqcbRg77L_Cnr3FXjPEA&oe=635582CE&_nc_sid=30a2ef
